 Noun,Adjectives and Verbs
stopper,showing  gave  locate  big  false  zagging  different  encourages  opening  peaks
mark,handles  gave  question  let  told  cus  zagging  different  encourages  allowed  airdroid  tells
gain,killing  gained  remain  giving  absurd  waited  broke  calculated  elevation
measurement,imperial  responding  terrible  usable  doubling  intermittent  spurious  spotty  calculating
button/option,more?  sharing  f****  make  google+
resume,discover  button  said  stop  tapping  recording  force  start  exit  fastest
streetview,care  like  full  stat?  scribbling  looks  wants
waste,misses  sky  idle  vs  specific  twenty  beautiful  tell  miscalculated
order,connects  disappointed  predefined  miolink
how?,gave  locate  told  big  pass  know  astonishing  zagging  different  copy  encourages  allowed  airdroid  doubt  opening  tells  peaks
p7500,help  note  continuous  galaxy  detected  s3  fixed  samsung  kitkat  s4  stable  gen  helpful  smaller  discharged  grand  w/s4
height,known  agree
mile,rode  jump  nope  bring  half  lying  eleven  only  searched  empty  jumped  marked
shown???,"rendering  reliable  ""do  info  hesitating  wouldn't"
velocity,ave  reliable  speed  unreliable  hell  longer  graph
app?,accessing  made  recommend  forget  believe  flakey  ruin  love  gone  due
that's,needed  collected  do  cover
splits,leave  put  manual  automatic  run
second,converting  compatible  pro  created  file  send  microsoft  possible  manual  microsoft's  lat/long
bit,more?  continues  there's  mess  make  web  leaving  klutzy  offset  complex  segmenting  complicate  regains
computer,accessing  match  geotag  downloaded  talk  asked  next
level,unusual  launched  turns  fair  drain  measured
screen,meaning  blank  sending  remained  smaller  displays  black  sliding  resulting
people,syncing  docs  were  drive  shared
text,f****  huge  small  google+  shuts  link
help,constant  samsung  sending  sucked
abscissa,new  geeky  sharing  social  generic  suck
site,normal  more?  like  similar  endomondo  wider  make  web
calendar?,watch  contact  worse  hate  removed  getting
defeats,summary  stored  innovative  caused  more-or-less  existing  internal  gets  allows  daily  contained  entire
route,crazy  preferred  planned  w/  point  surprised  riddled  opening  directional  logged
longtime,favourite
zags,uses  handles  walk  zagging  sits  kill  uk  offset
skating,like  other  stupid  indicate  does
synch,syncing  classic  happens  drive  google  gionee  google+  syncs
conection,dotty  classic  pre-loading  map  beside  offline
random,packs  verging  logical  manual
movie,am  usable  holding
muti,route  crazy  preferred  planned  w/  point  riddled  running  opening  directional  logged
obstructions,aren't  show  burned  incorrect  burn  wish
movement,worked  accuracy  luklckaly  blue  improving  actual
wasnt,disappointment  discover  able  only  actual  post
sucks,loading  likely  calculates  prefer  reinstalled
power,much  uses  cpu  eats  face
skips,going  ruins  huge  randomly  making  contact  fro  looping  loses
summary,min/mile  stored  more-or-less  existing  gets  contained
desktop,received  click  disconnected  german  english  translating  seems  segmenting
max,maximum  biking  speed  showed  appeared  calculating  calculated
home,widget  xt  leave  lockscreen
"evil""","white  proper  theres  longer  ""do  offline"
mapmyride,help  care  like  earlier  miss
note,continuous  galaxy  detected  s3  fixed  samsung  buggy  kitkat  s4  hold  smoothing  android  stable  helpful  shouldnt  smaller  discharged  grand
mototracktour,route  tracked  preferred  count  wrong  displays  measured
connection,there's  eror  sad  disconnected  internet
setting,highest  turned  happened?  accuracy
river,insisted  dies  handles  walk  stupidest  built  randomly  january  zagging  sits  puts  uk  sit  viewed
statistics,"aggregate  unlocking  gmap  incorrect  engine"""
supports,bluetooth
map?,select  public  needed  read  make  them?  grey
type,map?  select  completed  contact?  read  pirate-ware  them?  effective
terrain,aware  classic  destroyed  pre-loading  stored  map  affected  allow  removing  handle  offline
goal,care  coordinate  like  unreliable  professional
ace,note  galaxy  detected  s3  samsung  installed  s4  performed  stable  helpful  grand  w/s4
razer,drained  editable  ur  #2  battery  note-3  drains  draining  droid
'elevation,crappy  consistent  computing  accurate  isn't
packet,signed  valid  packged  install  downloading
way,cuts  stupidest  fair  hot  inform  oddest  uh  imaginable
session's,uploading  performed  wanted  take  exit  recorded
aware,you're  such  stored  ending  offline
pls,constant  predefined  miolink  wanted
connects,advertised  preventing
limitations,paired  blue
visualizer,readable  created  focusing  allows
calaries,didnt  traveled  walking  affected  removing  burn  1-2km  wish
support,chinese  prevents  miolink  bluetooth  ant+  le  processes  user  quality  metric  usb  hrm  ble  restore
synthesis,is  poor  vocal  takes  deleted  understandable  spurious  uh  rendered  launching  behaving  /\
units,correct  remove  please  quality  gen  measure  restore  working?
patchy,constant  correct  once  large  lose  marking
day,couple
airplaneboatskissnowboardbut,"reliable  ""do  faster"
worked,fine  ditto  inconsistent  blue  stopped  improving  saving  actual
sucker,unusual  earth  google  drain  excessive  ur  erratic  #2  battery  drains  burns  60-mile
widget,alert  apply  responding  lockscreen  small  drain  consumes  offers  battery  drains  burns  eats  warned
generation,enjoyed  excessive  u  tied
shares,route  bring  preferred  wrong  only  riddled  draw  directional
holes,typical  few  walk  giant  creates  gets  isnt  recorded
biking,max
mph,kph  re-install
brand,new  s3  fewer  hold  performed  make  smaller
anyone,connecting  fallacious  indicate  having
human,cant  amazing  aggregate  converted  offers  get  super
starting,stopping  chew  kills  draining  launching  threw
qa,"say  offers  release  /  ""test"
galaxy,note  continuous  detected  s3  fixed  samsung  kitkat  s4  hold  performed  android  stable  helpful  smaller  discharged  grand  w/s4
lll,note  continuous  galaxy  detected  s3  samsung  s4  stable  helpful  smaller  discharged  grand  w/s4
version,latest  current  previous  older  obtain  update  last  updat  g+
zigzaggy,continues  mess  f****  mapping  hiking  web  leaving  calculating  resembles  jagged
mileage,match  bounce  pretty  see
didnt,traveled  said  burned  realize  burn  travelled  wish
functionality,excessive  sync
tables,height  syncing  shared  wrong
w/app,drained  turns  focusing  drain  ur  #2  biggest  battery  drains  burns
installing,"meaning  eror  unknown  ""-24"""
bloatware,informing  play  requires  'goodle  view  won't  installed  focusing  asking  'google  logged
lot,third  uses  fewer  consumes  empty  klutzy  eats
output,random  impossible  seems  possible
list,widget  small  cannot  added  stat  awesome  less
cellphone,drained  killing  third  idle  battery  miscalculated
"""my",normal  gps  blame  recognizes  recognize  signal
comingpackge,installing  unsigned  eror  longer  pausing
segments,crucial  awful  basic  most  dropping  missing  entire
bug?,worked  blue  improving  actual
-24,"meaning  installing  this???  unknown  error  ""-24"""
failure,"indicating  saying  receive  file  ""package  daocoh  update/install  keep  signend  getting"
distance,correct  individual  plot  large  doubling  wrong  calculate  calculating  displays  measured  travelled  walked
shoreline,level  fair  measured
counting,maximum  boring  shouldn't  calculate  right
session,tablefor  earth  saved  disable  suitable  drive  google  open  60-mile  opens  viewed
saudi,cant  dies  store-india'  available  suitable  lying  january  india  kill
s3,note  continuous  galaxy  detected  samsung  s4  hold  performed  stable  helpful  smaller  grand  w/s4
button,"resume  search  ""install  stop  tapping  recording  record  appears  closes  force  start  ""wi-fi  selected  pressed  automatic"
froyo,"helping  controlled/measured  mobile  n5  downloaded  ""quest"""
section,enormous  large  corrupts  missed  offset  ending
fitness,competitive  other  stupid
basic,crucial  glitchy  sharing  good  photo/route  generic  append  missing  runkeeper
m8,like  caught  fallacious  scribbling  htc  looks  google+
result,showing  strange  astonishing  weird  satisfied  gives  allowed  getting  enough  flitting
average,ave  peak  speed  higher  walking  moving  beautiful  handle  chart
signal?,normal  today's  inform  accuracy  seems  turning  slightest  reupload
auto,doesn't  ant+  connect  change  support?  seem  usb  hrm  import
track--why,maximum  speed  traditional  scale  wider  lying  eleven  only  color-coded  marked
journey,most  wanted  cutting  missing  entire
coordinate,chinese  unreliable  active  follow  suite  /
con,remain  mentioning  big  main  introduced  #2  biggest  suppose
doesn't,detect  failed  sd  ant+  work  seem  hrm  recognise
you're,aware  lacking  weak
pics,sky  longer  pausing
go,hell  seeing  u
garmin,forgot  detect  talk  hrm
dots,gone  reinstalled
cant,
omission,awful  buggy  stupid  photo/route  prompts  app
security,"indicating  offering  fail  saying  signed  receive  file  ""package  daocoh  update/install  says  packged  fails  signend  fails:"
phone?,"helping  forgot  n5  downloaded  nice  favourite  professional  ""quest"""
reset,aggregate
sorry,personal  steal  full  assume  remove  contact?  decided  read  contact  i'm
turns,level  showing  km  count  wrong  drain  known  measured
park,dies  suitable  india  walked
beige,individual  loaded  it's
there's,assume  turn  offset  internet  regains  stationary
km/,ave  speed  stop
wreck,correct  crazy  drop
rest,"ave  location""  stop  doubled  included"
desire,latest  strange  current  previous  htc  obtain  update  last  updat
speed,max  maximum  ave  average  higher  unreliable  hell  traditional  seeing  wider  beautiful  color-coded  calculated  handle
sense,am  blame  willing  recognizes  pausing
signature?,uninstalled  indicate  store
instability,app?  mess  enormous  recommend  lame  corrupts  missed  upgraded  offset  ending  measured  due
cycling,necessary  more-or-less  existing  shouldn't  daily  beside  run
endonondo,care  dotty  choose  theres  stat?  wait
rating,helping  complicated  deleted  negative  preventing  intuitive  cool  taking  increase
input,"coordinate  chinese  unreliable  active  user  follow  suite  /  ""test"
train,correct  crazy  directional
mess,enormous  froze  missed  leaving  offset  calculating  resembles  freezes
correct,individual  calculate
overreach,approved  completed  contact?  collected  cover
l,geeky  n  b  generic  graph  pathetic  are  complete  sliding
mytrack?,"much  competitive  ""do  provide  intuitive  face  faster"
@,note  continuous  galaxy  detected  s3  fixed  samsung  kitkat  s4  hold  android  stable  helpful  smaller  discharged  grand  w/s4
i've,30-40  had  invasive  tested  flakey  lost  ruin  searched  gone  noticed
track,sheetgreatthe  saved  added  editable  usual  wanted  gmap  spreed
report,continue  remain  general  user  absurd  pre-downloaded  testing
s2,note  continuous  galaxy  detected  s3  samsung  s4  android  stable  helpful  smaller  grand  w/s4
marker,happens  put  see  manual
aren't,reasonable  burned  incorrect  accurate  burn  smooth  wish
lets,"much  uses  competitive  ""do  slower  intuitive  complex  eats  face  faster"
it?,boot
e,biological  statistical  hit  count  known
km,tablefor  turns  showing  preferred  displayed  count  wrong  pass  known  negative
inability,uploading  been  moved  keep  take  shp
identity,horrible  terrible  active  accurate  holding  behaving
openstreetmap,latest  previous  obtain  plan  import  tied
distance?,saved  map  more-or-less  existing  internal  spb  daily  entire
ui,min/mile  setting  improved  good  scale  big  main  major  fired  weird  rewritten  issue
mountain,mentioned  biking  track  endomondo  promised  n5  little  usual  appeared  wanted  unusable  spreed
matters,look  warning  usable  spotty
fiximg,note  samsung  smaller  update  last  nexus
tracklog,rendering  point  plan
gained',crappy  consistent  computing  isn't
place,random  lossing  doubling  oddest
annoying,promised  total  moving  little  vs  negative  grinning
apk,offering  gps  receive  loses  reupload  signal  regains
terrible,latest  buggy  smoothing  last  seen
flaws,setting  good  default  accuracy
none,map?  editable  consumes
googlemap,closer  common  excessive  syncs  lat/long
kph,mph  public  klutzy  complex
hell,white  go  speed  traditional  deleting  scrambled  wider  pirate-ware
watch,adds  reading  luklckaly  sucked  wear  syncs  tuned  outing
gpx,syncing  accept  planned  file  display  converted  send  create  import  move
shot,supposed  driven  navigate  straight
email,summary  saved  contained
killer,unusual  drained  idle  drain  excessive  inconsistent  ur  battery  drains  tried  reinstalled
mapmaker,latest  recent  crap  update  broken
application,keeping  hanging  crashed
yesterday,consumed
stores,editing  geotag  mytrack
click,f****  single  google+  link  segmenting  try
detail,fewer
week,couple  fine  several  minute  past  hasn't  caffeinated
charger,happen  eg  vocal  understandable  launching  behaving
avon,insisted  typical  dies  handles  walk  stupidest  built  randomly  january  zagging  creates  sits  puts  uk  sit
"location""","supported  zoomed  hd  are  ""wi-fi"
locks,mess  f****  froze  pick  luklckaly  leaving  reload  connected  fresh  resembles
a60,"detect  appear  ""my  doesn't  sd  today's  work  isn't  working"
gps',"'waiting  trusted  charged  kills  ""waiting"
gps,"kcal  ""my  acknowledge  waiting  fewer  drop  picked  ""waiting  turning  loses  madest  slightest  recognizes  occasional  recognize  signal  seen"
purpose,misses  innovative  caused  opposite  prominent  more-or-less  existing  marking  internal  entire
airplane,leave  n5  kill  limited  outing
tag,tap  map  including  shown  display  editable  zoomed  chart
drawings,looking  mad  have  appeared  broke  prefer
seat,sit
correctly????,"fail  signed  framework  bad  valid  sync  packged  signend  correct""  fails:  shoud"
earth,play  requires  disable  amazing  suitable  drive  google  common  erratic  preventing  open  60-mile  opens  viewed
step,re-imported  pro  necessary  existing  shouldn't
slope,30-40  gained  lost  calculated
energy,support  peak  predefined  miolink  bluetooth  le  low  ble  impressive  polar  disappointing
something,"jusr  public""  german  english  hit  translating  miss  correct"""
audio,connecting  fallacious  indicate  having  working?
sharing,crucial  geeky  basic  glitchy  social  innovative  photo/route  generic  internal  nice  suck
blanks,worked  lossing  tracking  ditto
pressing,pinpoints  visible  recognise  join
don't,want  o+  jerk  went  i  stat?  clog  dont  know  clean  tolerated  often?
fail,signed  fails  signend  fails:
slowdown,widget  alert  responding  xt  stopping  lockscreen  consumes  offers  burns  eats  warned
look,warning  usable  suck
rounds,dies  suitable  walked
startup,text  small
font,text  widget  real  small  stat  provide  less
teleport,there's  turn  hilarious  offset  regains  stationary
reluctant,accessing  requires  playservice  contact?  next  due
seriously?,app?  accessing  made  forget  tracking  ruin  1-2km
mobile,"controlled/measured  inconsistent  ""wi-fi  ""quest"""
samsung,help  note  continuous  galaxy  detected  s3  fixed  kitkat  s4  hold  android  stable  helpful  smaller  discharged  working  grand  w/s4
cycle,insisted  handles  stupidest  built  lying  january  introduced  sits  puts  uk  blame  sit  thought  viewed
walk,twenty  creates  offset
feedback,sending  store
sign,failed  signed  loved
photo's,mile  jump  bring  viewing  dont  eleven
countryside,unhappy  mobile  find  tracking  it's  ditto  discouraged
endomondo,like  similar  add
crazy,route  rebooted  w/  point  surprised  follow  burning  suite  riddled  directional
timer,result  received  dreadful  astonishing  flitting
usage,incomplete  supported  zero  close  attempting  finish  india  according  runtastic  cpu  use  check  enlarge  wasn't  stationary
play,informing  passing  aborted  earth  requires  'goodle  view  won't  installed  google  focusing  asking  uninstalling  'google  reinstalling  wont  logged
crashes,latest  htc  install  wouldn't
walkers,designed  several  decent
opportunity,true  somehow  playservice  recommend  framework  bad  lost  packged
row,gave  question  told  astonishing  zagging  satisfied  earlier  different  copy  encourages  gives  allowed  opening  tells  peaks
awkward,widget  small  stat  provide  less
alcatel,helping  n5  downloaded  htc  professional
angles,route  crazy  need  w/  point  riddled  directional
haven't,opened  figure  had  approved  late  jumped  wasn't
tool,readable  compatible  geotag  pro  created  common  microsoft  taking  microsoft's  lat/long
useless?,"require  button  ""install  talk  record  appears  selected  pressed"
km/hr,looks  low  slightest
digress,bad  sound  experienced  packged  it`s  long  shoud
lite,embed  dotty  classic  destroyed  pre-loading  map  cannot  allow  puts  removing  goole  offline
lock,widget  few  lockscreen  consumes  offers  release  burns  warned
sony,"helping  appear  controlled/measured  showing  mobile  ""wi-fi  ""quest"""
bottom,"opened  controlled/measured  restarted  check  ""quest"""
hike,mapping  easy
folder,"""my  docs  drive  including  specific"
c'mon,looking  mad  broke  syncs
breaks,sheetgreatthe  remain  processes  absurd  spreed
excursions,saved  able  upload  allow  be  sent  converted  navigate  save
spread,launched  uploading  been  happy  have  pass  late  major  syncs
walking,average  fellow  said  finish  straight  burn
square,route  simple  w/  empty  riddled  directional  logged
one?,new  happen  horrible  finds  adding  loading  means  gotten  functional
traffic,"ave  button  speed  search  ""install  showed  stop  google-drive  doubled  included  fastest  ""wi-fi"
grade,max  such  gained  giving  appeared  calculated  elevation
fusion,height  syncing  disable  drive  shared  gionee  excessive  agree  syncs
fault,coordinate  watch  active  isn't  professional  tuned
search,"want  button  ""install  google-drive  make  appears  ""wi-fi"
others,treats  believe  hard  noted  syncs
i9082,note  continuous  galaxy  detected  s3  fixed  samsung  kitkat  s4  hold  android  stable  helpful  smaller  discharged  grand  w/s4
bt,external  support  prevents  bluetooth  please  quality  low  ble  restore
pointer,imported  uploaded  walk
app--or,geeky  ready  useful  included  grey  hd  promising--but  usgs  maintaining  are  garbage  complete  sliding  underachieving
amount,misses  nothiñg  making  losing  lose  miscalculated
"correctly""","indicating  fail  saying  signed  receive  file  ""package  daocoh  update/install  says  packged  signend  install  correct""  fails:"
provocation,easy  slightest
counter,sucks  more-or-less  existing  shouldn't
bar?,loading  am  scale  calculates  has  willing
touch,htc  editable  professional
kitkat,note  galaxy  detected  fixed  samsung  buggy  upgrading  s4  stable  helpful  grand
forget,app?  accessing  made  tracking  ruin  1-2km
startpoint,creating  beginning  adds  click  seemed  comes  stopping  keep  next  navigating  try
feet,mile  rode  jump  bring  travel  searched  marked
nothing,"button  ""install  appears  opens  ""wi-fi  selected"
view,play  requires  'goodle  won't  'google  open  logged
anything,fallacious  pick  indicate  record  rendered  recorded
page?,beginning  used  imaginable
reason,automatic
miolink,support  peak  disappointed  predefined  bluetooth  le  low  ble  polar
shoulder,tied
scattering,third  consumes  gone
good,crucial  tablefor  basic  necessary  photo/route  main  weird  madest  missing  enough  runkeeper
bluetooth,support  disappointed  predefined  miolink  le  low  ble  polar
i,traveled  don't  have  pass
authentication,necessary  today's
deleting,hell  pirate-ware  ruin  included  grey
gradient,hunt  been  happy  have  several  reading
poalr,mad  broke  syncs
package,"indicating  offering  unable  fail  saying  signed  unsigned  receive  file  ""package  daocoh  update/install  says  packged  fails  signend  install  newest  fails:"
menu,s3  flat  working
favorite,look  warning  unlocking  recognise
pedometer,peak  disappointed  predefined  miolink  bluetooth  low  polar  disappointing
trail,level  hike  fair
min/max,reliable  speed  unreliable  hell  traditional  longer  scrambled  wider  color-coded  pausing
total,showing  annoying  promised  moving  vs  known  negative  miscalculated
team,caught  paired  clean  get  nice  prompts
saves,height  competitive  sits  kill  syncs  lat/long  outing
pocket,zero  check  enlarge  segmenting  resulting  regains  stationary
coordinates,kcal  sky  specific  tell  does
phone,kill  limited
stroll,level  helping  fresh
moving,ave  average  annoying  sky  promised  total  same  vs  beautiful
contact?,accessing  personal  steal  remove  read  contact  uninstalling  them?
stat?,care  uploading  choose  don't  went  have  collected  wireless
whilst,route  w/  point  riddled  directional
monitor?,peak  predefined  miolink  bluetooth  know  low  ble  disappointing
couple,several  twenty  minute  past  wait
experience,offering  assume  edit  inform  mapping  seems  reupload  navigate  imaginable  try
review,hope
zoom,minute  os
numbers,"random  happens  put  ""-24""  logical  manual"
flight,adds  track  n5  recoreded  added  editable  usual  wanted  exported  spreed
information,such  giving  pretty  lame  false  corrupts  gives
yoga,bounce  amazing  trusted  sitting  stable  be  spurious  hope
half,mile  jump  eleven  jumped
let,gave  question  cus  download  wouldn't  doubt  opening  tells  wont  peaks
ant+,support  detect  doesn't  le  connect  can't  change  done  support?  seem  usb  hrm
closing,resume  wastes  seemed  managed  upgrading  stop  tapping  recording  closes  force  start
phone's,it's
sensation,am  htc  using
correlation,apply  find  oddest  clear  tied
network,"button  location""  social  mobile  ""install  wi-fi  ""wi-fi  selected"
recommends,informing  play  'goodle  won't  installed  uninstalling  'google  install  reinstalling  wont
please,steal  remove  fix  gen  follow  suite  restore  working?
intervals,random  packs  warning  spotty  verging  useless
'package,"was  signed  got  file  ""package  android  daocoh  update/install  fails  signend  error:"
butt,going  ruins  huge  randomly  fro  looping  enlarge  sit  resulting
pc,want  replacement  full  transfer  wanted  copy  re-install  g+
horse,happened  amazing  sitting  linked  be  better
standard,ready  am  saw  grey  usgs  complete
complet,eror
find,lossing  either  restored  found  shoud
topo,unsigned  map
ability,editing  tracking  common  restored
difference,much  consistent  slower  computing  isn't  less
air,real  including  sit
i9003,note  continuous  galaxy  detected  s3  samsung  kitkat  s4  android  stable  helpful  smaller  discharged  grand  error:
heart,alert  peak  disappointed  predefined  miolink  bluetooth  le  low  ble  polar  disappointing
fact,opened/used  keeping  decided  treats  processes  crashed
loops,ruins  randomly  looping  pathetic
fine,worked  blue
tracking,unhappy  seemed  forget  ditto  discouraged  restored  least
zephr,mad  agree  broke  syncs
froze,mess  clean  luklckaly  fresh  resembles  beside  freezes  outing
add,endomondo  this???  upgraded  navigate
show,dies  viewing  rotate  recoreded  fewer  footpath  riding  sometimes  paused  peaks
guys,tablefor  available  working
fix?,short  shown  stat  calculate  rendered  right  shuts
route?,mentioned  you're  enormous  appeared  missed  ending
neighborhood,running
cannt,needed  pirate-ware  collected  make  saw  them?  updating  cover
maxx,unusual  drained  drain  ur  #2  battery  note-3  drains  draining  droid  threw
thank,pre-loading  bean  sure  pulls  cache  unsure  offline
it's,simple  unhappy  discouraged  tree  smooth
need,closer  personal  crappy  suite  fixing  mature  isn't  super
won't,play  'goodle  view  installed  'google  means  limited  reinstalling  logged
availabla,mentioned  mad  track  saved  little  precise  usual  appeared  ending  looses  tied
fb,zoomed  link  post
waiting,"continuous  proper  keeping  gps  searching  dreadful  ""waiting  recognizes"
targets,new  alert  peak  disappointed  predefined  miolink  bluetooth  low  disappointing
installg,approved
eg,cuts  adding  vocal
x,helping  adds  watch  erased  lagging  chew  kill  fresh  favourite  draining  outing  threw  increase
later,few  creates  found  awesome
lagging,adds  crash  erased  stopping  deleted  slower  started  cool  threw  increase
dont,want  personal  don't  viewing  pirate-ware  collected  tolerated  exact
circle,docs  were  going  hunt  ruins  randomly  shared  looping
k,n  b  work  blue  pathetic
"""mock","external  location""  supported  are  garbage  sliding"
reality,watch  contact  reading
window,tablefor  sit  black
gplay,passing  need  crappy  useful  promising--but  mature  isn't  underachieving
galxay,galaxy  detected  s3  disappointed  samsung  assume  s4  stable  i'm  helpful  working  grand  stationary
tolerance,setting  highest  aren't  fine  default  accuracy  enough
sport,proper  like  other  ask  cross  hesitating
talk,helping  detect  kcal  appear  require  acknowledge  advertised  connect  flat  looses
heat,unusual  enjoyed  excessive  u  battery  tied
file,"indicating  was  compatible  accept  created  saying  signed  receive  ""package  daocoh  update/install  fails  send  signend  microsoft  correct""  error:  create  fails:"
inexplicably,accesses  more  private  accurate
invalid,"helping  controlled/measured  mobile  saying  packged  ""quest""  doesnt"
happened?,setting  highest  happens  n5  wider  shared  color-coded  see  improving
motion,rebooting  jumping  giant  stupidest  kept  opposite  sits  grinning  hesitating  draining  hasn't
asap,support  prevents  please  fix  quality  gen  follow  suite  restore  working?
map,white  controlled/measured  classic  destroyed  pre-loading  stored  allow  pre-downloaded  more-or-less  removing  handle  offline
lockscreen,widget  third  responding  xt  drain  consumes  offers  battery  drains  burns  eats  warned
star?,need  put  automatic
zeroes,making  sending  thrashing  flashes  wouldn't
failing,raw  gps  connected  occasional  signal
doxn,'waiting  km  count  hesitating
pace,ave  seemed  include  traditional  stop  eleven  calculates  fastest
chats,geeky  n  b  generic  graph  are  complete  sliding  underachieving
s4,note  continuous  galaxy  detected  s3  samsung  kitkat  searching  hold  android  stable  helpful  smaller  grand  w/s4
synchronization,aborted  walking  fellow  disconnected  translating  straight
didn't,understand
spots,lossing  ditto
drive,syncing  docs  classic  earth  disable  google  shared  sync  opens  viewed  export
google,informing  syncing  aborted  docs  classic  destroyed  earth  play  requires  disable  drive  common  asking  searched  erratic  preventing  60-mile  opens  viewed
correctly???,"offering  unable  signed  receive  file  ""package  daocoh  update/install  fails  signend  reinstall  reupload  create  fails:"
resolution,unsigned  low
picture,accessed  valid  performed  related  black  super
charting,terrible  mapping  spurious  spotty  turning  calibrating  jagged
scale,min/mile  decided  wider  fired  rewritten  color-coded
crashing,glitchy  keeps  uk
"""package","indicating  was  saying  signed  receive  file  daocoh  update/install  says  fails  signend  install  newest  correct""  error:  fails:"
circuit,opened  incomplete  disconnected  idle  zero  close  attempting  hilarious  lose  finish  send  according  check  enlarge  wasn't  stationary
ok,negative  flat  cool  /\
presentation,"making  worse  are  engine"""
business,handles  displayed  calculates  thought
becomes,horrible  finds  satellite  intermittent  madest  gets  accurate  sometimes  seen
pressure,real  including  sit
micromax,"detect  appear  ""my  doesn't  failed  sd  today's  work  working  recognise"
crap,recent  bad  pausing  freezes
spreadsheet,"imported  indicating  saying  file  ""package  daocoh  update/install  signend  error:"
speed/pace,made  enormous  showed  pretty  lame  corrupts  missed  offset  measured
installation,doesn't  failed  sd  told  loved  work  ahhhhhh  seem
:-,perfect  playservice  happened  recommend  able  store-india'  upgrading  framework  bad  love  gone  used  navigate
time,tries  short  wifi  annoying  sky  promised  total  moving  vs  locating  specific  twenty  negative  tell  miscalculated
point,route  crazy  w/  usable  riddled  directional
inaccurate,lossing  impossible  uh
user,continue  support  chinese  prevents  processes  quality  inform  absurd  metric  testing  using
buildings,figure  sucked  marking  miscalculated  beside
optimus,apply  n5  can't  install
detection,coordinate  unreliable  graph
case,longer  loading  taken  gotten
cell,there's  disconnected  attempting  internet
default,accuracy  measure
fix,xt  resolve  please  gen  suite  restore  working?
connect,detect  ant+  talk  pick  change  seem  hrm  take
stop,resume  button  seemed  comes  managed  tapping  recording  included  miss  force  start  fastest
vs,annoying  promised  total  moving  same  specific  negative  miscalculated
improvement,it's  minute
pick,detect  connect  clean  work?
kept,rebooting  jumping  giant  several  opposite  single  grinning  past  hesitating  draining  hasn't  exit  causing  navigating
synchronized/,helping  appear  accessed  n5  downloaded
service,informing  passing  play  requires  'goodle  crappy  installed  google  focusing  asking  'google
quality,external  support  chinese  prevents  user  using  restore  high
news,endomondo  other  stupid
gus,cannot  broken  install  downloading
kilometres,sky  eror  incomplete  zero  close  use
zumba,trusted  sitting  spurious  hope  wish
result:,gave  buggy  smoothing  know  zagging  different  encourages  gives  tells
secs,endomondo  sometimes
roller,like  other  stupid  indicate  does
count,turns  showing  km  preferred  displayed  wrong  known  spb  measured
visualization,like  similar  other  nice  running
bike,mile  match  forgot  half
wile,saying  packged  asked
y,galaxy  detected  disappointed  samsung  assume  i'm  helpful  hr/mile  stationary
mode,appear  sd
pause,button  automatic
"""move","helping  opened  location""  built  downloaded  talk  restarting  zoomed  pressed"
let's,figure  hike  went  find  froze  mapping  cutting
ter,ahhhhhh
china,walk  fine  usa  work  uk
attempt,play  disconnected  attempting
wi-fi,"turned  accessed  tap  leave  turning  related  ""wi-fi  wireless"
accuracy,setting  highest  question  default  repeatable  improving  checked
one,more?  driven  coolest  htc  google+  prompts
shape,oddest
